# tau [ps];  F2NO4S2 [ps*S/m];  F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2 [ps*S/m];  C4H10O2-var [ps^2*S^2/m^2];  Li [ps*S/m];  Li-var [ps^2*S^2/m^2];  F2NO4S2/F2NO4S2 [ps*S/m];  F2NO4S2/F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2/C4H10O2 [ps*S/m];  C4H10O2/C4H10O2-var [ps^2*S^2/m^2];  Li/Li [ps*S/m];  Li/Li-var [ps^2*S^2/m^2];  F2NO4S2/C4H10O2 [ps*S/m];  F2NO4S2/C4H10O2-var [ps^2*S^2/m^2];  F2NO4S2/Li [ps*S/m];  F2NO4S2/Li-var [ps^2*S^2/m^2];  C4H10O2/Li [ps*S/m];  C4H10O2/Li-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
17400.000000;  9574.773999;  215.611843;  1327.457837;  0.241403;  27969.870182;  1248.091694;  1243.259687;  15220.003842;  -957.194759;  17.578957;  -4067.249289;  95683.578758;  -4001.437980;  2268.367722;  -18086.150812;  90694.169762;  3471.260306;  3171.726444;  16474.589173;  48381.876167
17430.000000;  9590.834362;  216.243476;  1329.752322;  0.241631;  28019.381923;  1249.465437;  1243.125565;  15255.291072;  -958.931106;  17.608292;  -4067.119710;  96231.278902;  -4007.399432;  2273.541195;  -18131.030481;  90948.215967;  3479.799251;  3181.063857;  16498.412694;  48538.269863
17460.000000;  9606.936181;  216.949881;  1332.047154;  0.241984;  28068.960488;  1250.843156;  1243.736488;  15287.632008;  -960.642439;  17.635894;  -4067.531988;  96729.925271;  -4013.643418;  2278.270928;  -18175.056623;  91204.144116;  3488.179428;  3190.392005;  16522.985271;  48684.310011
17490.000000;  9623.042538;  217.614240;  1334.342308;  0.242238;  28118.567538;  1252.216020;  1243.735224;  15313.473050;  -962.374046;  17.657631;  -4068.049660;  97227.738646;  -4019.667187;  2282.201889;  -18219.242546;  91445.726906;  3496.588044;  3199.241807;  16546.942212;  48829.473668
17520.000000;  9639.130770;  218.336566;  1336.637198;  0.242569;  28168.347903;  1253.810368;  1243.831538;  15341.702531;  -964.103011;  17.681734;  -4067.940168;  97720.881698;  -4025.718421;  2286.499541;  -18263.063461;  91669.204220;  3504.936523;  3207.425614;  16572.058871;  48980.908545
17550.000000;  9655.149537;  219.030087;  1338.932368;  0.242929;  28218.103281;  1255.645040;  1243.364780;  15365.683938;  -965.852625;  17.700092;  -4068.032911;  98230.396802;  -4031.542638;  2290.107820;  -18307.624612;  91913.047930;  3513.417755;  3216.349673;  16595.914934;  49124.858768
17580.000000;  9671.112566;  219.722938;  1341.227213;  0.243232;  28267.790387;  1257.698793;  1241.962339;  15380.791146;  -967.633671;  17.708480;  -4066.513949;  98748.944824;  -4037.011807;  2292.542764;  -18353.545972;  92160.207926;  3522.158085;  3225.363946;  16619.545191;  49287.459663
17610.000000;  9687.092245;  220.513342;  1343.521002;  0.243576;  28317.464940;  1259.825057;  1240.176214;  15389.958007;  -969.426535;  17.713381;  -4065.933988;  99277.416605;  -4042.343512;  2294.314637;  -18398.412750;  92395.415928;  3530.699428;  3233.998328;  16642.837045;  49457.900644
17640.000000;  9703.003076;  221.292078;  1345.816278;  0.243895;  28367.233761;  1261.967990;  1237.909710;  15399.966936;  -971.240212;  17.719808;  -4067.389113;  99742.061469;  -4047.469217;  2296.285815;  -18441.624659;  92592.784199;  3538.925058;  3241.275734;  16665.164681;  49603.013389
17670.000000;  9718.898251;  222.004679;  1348.111436;  0.244184;  28417.169131;  1264.309301;  1235.914123;  15415.173281;  -973.046054;  17.732655;  -4068.329238;  100195.976883;  -4052.683718;  2298.999512;  -18483.808755;  92739.553744;  3546.969191;  3246.790990;  16689.194368;  49754.594860
17700.000000;  9734.876085;  222.669939;  1350.408454;  0.244505;  28467.261671;  1266.252942;  1234.589352;  15427.482993;  -974.829836;  17.742521;  -4070.447204;  100650.389694;  -4058.166860;  2301.314464;  -18524.650993;  92882.260270;  3554.761602;  3252.215331;  16713.802271;  49882.366646
17730.000000;  9750.762371;  223.426192;  1352.705337;  0.244853;  28517.142509;  1268.302497;  1232.295735;  15437.355540;  -976.649360;  17.750269;  -4071.720737;  101157.385849;  -4063.259822;  2303.296211;  -18564.248987;  92981.152951;  3562.332812;  3256.140842;  16739.359857;  50054.037800
17760.000000;  9766.695192;  224.232774;  1355.002622;  0.245110;  28567.096076;  1270.315494;  1229.748701;  15441.149543;  -978.476264;  17.750708;  -4071.894377;  101650.836684;  -4068.276695;  2304.446804;  -18603.613416;  93080.777434;  3569.870646;  3260.105029;  16766.152485;  50220.106979
17790.000000;  9782.630792;  224.947560;  1357.299767;  0.245369;  28617.275205;  1272.370181;  1227.480175;  15444.049378;  -980.294647;  17.749123;  -4073.509732;  102102.871020;  -4073.390906;  2305.538054;  -18641.713248;  93175.097345;  3577.169285;  3263.820049;  16792.946692;  50385.215019
17820.000000;  9798.554669;  225.721535;  1359.597767;  0.245646;  28667.558602;  1274.733651;  1224.513716;  15451.272467;  -982.137748;  17.752557;  -4075.198168;  102558.134687;  -4078.244828;  2307.188554;  -18679.196614;  93263.315223;  3584.356147;  3267.330361;  16819.803542;  50550.916237
