time;anion_self;anion_self_std;cation_self;cation_self_std;anion_cross;anion_cross_std;cation_cross;cation_cross_std;anion_cation;anion_cation_std;total_eh;total_eh_std
     14.00000000;     30.91297100;      0.03009332;     35.63676660;      0.03800775;    -28.45315820;      0.03032712;    -20.01659780;      0.14777106;     12.39720860;      0.11887102;     30.47719080;      0.29223029
     15.00000000;     31.71951780;      0.02928034;     36.68678620;      0.03989770;    -29.17758060;      0.02927250;    -20.54512180;      0.14643371;     12.81110340;      0.11417788;     31.49470460;      0.28069342
     16.00000000;     32.49087280;      0.03082063;     37.69833740;      0.04279019;    -29.86887780;      0.02988960;    -21.04829320;      0.13946666;     13.21458800;      0.10369905;     32.48662680;      0.25492970
     17.00000000;     33.22211320;      0.03553909;     38.67095600;      0.04651198;    -30.51732200;      0.03786360;    -21.49515100;      0.16600253;     13.63186900;      0.12128127;     33.51246500;      0.29815559
     18.00000000;     33.92405420;      0.03877225;     39.61399660;      0.04965816;    -31.14208340;      0.04384078;    -21.94809240;      0.19312713;     14.02084580;      0.14132664;     34.46872120;      0.34743392
     19.00000000;     34.60835420;      0.04077391;     40.53588340;      0.05259282;    -31.74913640;      0.04642993;    -22.37945040;      0.21575840;     14.41016340;      0.16177778;     35.42581480;      0.39770878
     20.00000000;     35.27941380;      0.04426842;     41.44117520;      0.05508932;    -32.34755100;      0.04987677;    -22.82344260;      0.22343815;     14.77628340;      0.16766853;     36.32587860;      0.41219340
     21.00000000;     35.94358360;      0.04773643;     42.33738760;      0.05841759;    -32.93633440;      0.05229204;    -23.24094620;      0.23734482;     15.15622100;      0.18026709;     37.25991200;      0.44316543
     22.00000000;     36.59922980;      0.04823792;     43.22367500;      0.06033872;    -33.51926060;      0.05432824;    -23.66545640;      0.25201560;     15.52271940;      0.19250171;     38.16090680;      0.47324361
     23.00000000;     37.24467880;      0.04972676;     44.09918080;      0.06115253;    -34.09210100;      0.05340946;    -24.07988560;      0.29049816;     15.88866040;      0.23056016;     39.06053320;      0.56680833
     24.00000000;     37.87797540;      0.05076976;     44.96106960;      0.06381788;    -34.65211420;      0.05827086;    -24.47641480;      0.32271727;     16.25800200;      0.25606563;     39.96851820;      0.62950883
     25.00000000;     38.49835880;      0.05101815;     45.80778000;      0.06472111;    -35.20125460;      0.06546390;    -24.87072720;      0.37978468;     16.61705700;      0.30172154;     40.85121400;      0.74174843
     26.00000000;     39.10848020;      0.05329996;     46.64330080;      0.06550355;    -35.74313200;      0.07424666;    -25.27288980;      0.40532453;     16.96099800;      0.31866950;     41.69675680;      0.78341503
     27.00000000;     39.70782560;      0.05311995;     47.46835660;      0.06471445;    -36.27499140;      0.07754985;    -25.66940140;      0.43557585;     17.30112120;      0.34480919;     42.53291040;      0.84767667
     28.00000000;     40.29669100;      0.05432737;     48.28097920;      0.06591894;    -36.79584200;      0.08250257;    -26.05012500;      0.45087171;     17.64390720;      0.35422183;     43.37561040;      0.87081828
     29.00000000;     40.87471560;      0.05459565;     49.08284600;      0.06609048;    -37.30660160;      0.08589642;    -26.42484940;      0.47394480;     17.98291560;      0.37033967;     44.20902580;      0.91044031
     30.00000000;     41.44449360;      0.05337247;     49.87404460;      0.06723310;    -37.81069000;      0.09137033;    -26.79890960;      0.51794995;     18.31398400;      0.40245918;     45.02292260;      0.98940243
     31.00000000;     42.00782820;      0.05576004;     50.65721840;      0.06830240;    -38.30344700;      0.09425101;    -27.13391120;      0.53854919;     18.66968620;      0.41785740;     45.89737480;      1.02725708
     32.00000000;     42.56363380;      0.05745570;     51.43225960;      0.06724536;    -38.79582540;      0.09598690;    -27.50618240;      0.55763534;     18.98935260;      0.43274592;     46.68323800;      1.06385924
     33.00000000;     43.11149180;      0.05894471;     52.19951620;      0.06865287;    -39.28007920;      0.10052237;    -27.86954760;      0.57896074;     19.30990860;      0.44695705;     47.47128980;      1.09879584
     34.00000000;     43.65549320;      0.06223162;     52.96297180;      0.06933303;    -39.76510660;      0.10877469;    -28.25851300;      0.61490427;     19.60713080;      0.47404488;     48.20197600;      1.16538840
     35.00000000;     44.19446400;      0.06302014;     53.72145920;      0.06947298;    -40.24103280;      0.10841984;    -28.61666320;      0.61511381;     19.92486620;      0.47565513;     48.98309280;      1.16934634
     36.00000000;     44.72847120;      0.06400532;     54.47132880;      0.07151377;    -40.71112380;      0.11395094;    -28.96065580;      0.65502695;     20.24699740;      0.50447061;     49.77501720;      1.24018571
     37.00000000;     45.25393200;      0.06672515;     55.21268340;      0.07287235;    -41.17335280;      0.12257666;    -29.30048500;      0.71567530;     20.56567780;      0.55368382;     50.55845540;      1.36117210
     38.00000000;     45.77169680;      0.07077459;     55.94507340;      0.07586806;    -41.62839180;      0.12849029;    -29.63455200;      0.74748834;     20.88181200;      0.57775891;     51.33563820;      1.42035914
     39.00000000;     46.28504740;      0.07355369;     56.67373460;      0.07859492;    -42.08093360;      0.13385344;    -29.97707300;      0.76971190;     21.18827940;      0.59275066;     52.08905520;      1.45721506
     40.00000000;     46.79610000;      0.07600403;     57.39809940;      0.07955821;    -42.52850260;      0.13971649;    -30.29830980;      0.80911674;     21.50822940;      0.62382542;     52.87561620;      1.53360883
     41.00000000;     47.30120960;      0.07873023;     58.11605400;      0.08100418;    -42.96813480;      0.14377976;    -30.60047460;      0.81055226;     21.83822880;      0.62288184;     53.68688300;      1.53128769
     42.00000000;     47.80071660;      0.07879457;     58.83016540;      0.08062465;    -43.40466120;      0.15095387;    -30.91465380;      0.85719308;     22.15564360;      0.65987931;     54.46721060;      1.62224316
