   contribution,  sigma / S*m^-1, delta_sigma / S*m^-1,        r2
     msd_1_self,        0.239279,             0.000008,  0.999983
     msd_2_self,        0.419587,             0.000008,  0.999923
    msd_1_cross,       -0.171835,             0.000008,  0.999761
    msd_2_cross,        0.008690,             0.000008,  0.245949
        msd_1_2,        0.339909,             0.000008,  0.998192
       total_eh,        0.835629,             0.000008,  0.998192
