time / ps;msd / pm^2;std / pm^2
0.0;0.0;0.0
9.0;14543.2710788;16.918139085585675
18.0;19242.8047584;52.10919225344193
27.0;23089.967402200004;60.03451697210213
36.0;26507.933084999997;74.10563725783513
45.0;29688.2735702;90.77037242258922
54.0;32672.652821199998;94.91409522554031
63.0;35538.3288868;90.52623756858517
72.0;38293.9030658;103.13042967782123
81.0;40967.5589274;113.82895654633074
90.0;43574.889001;132.16274449437884
99.0;46113.1597406;142.0706227983766
108.0;48584.607193799995;163.32198686423936
117.0;51008.5951098;196.423281432099
126.0;53402.0139912;212.6489054988862
135.0;55759.2694104;243.5752819453855
144.0;58087.4320262;281.320241995279
153.0;60383.7345986;303.46366821999595
162.0;62641.278940599994;345.76858389135435
171.0;64877.9916166;366.2871323747478
180.0;67105.08592000001;401.59807798174654
189.0;69291.298497;426.6389880559673
198.0;71480.14860399999;469.95775921676005
207.0;73630.40027900001;501.6297696046438
216.0;75769.576197;529.8683567867062
225.0;77901.6298194;558.9791050561815
234.0;80016.24966619999;563.2650023295499
243.0;82129.4925448;584.1563879282065
252.0;84221.23833220001;595.4660338564245
261.0;86303.35974039999;626.9194842502015
270.0;88368.8784026;647.4115065350826
279.0;90442.78710660001;658.8623320134038
288.0;92516.86819800001;671.1845116718408
297.0;94567.3216394;692.4742067960859
306.0;96616.51513999999;715.8513510557925
315.0;98661.4033716;742.8449853298409
324.0;100689.6239292;774.797483710154
333.0;102727.02581579999;803.2102347926347
342.0;104752.73881480002;819.9336780087732
351.0;106777.4954474;862.0205498388316
360.0;108783.82676400003;887.7990123056004
369.0;110804.0285386;942.4765019836241
378.0;112799.90631000002;974.690876891253
387.0;114791.8321572;1001.483352335974
396.0;116794.8809254;1028.6057570946184
405.0;118785.03025200001;1052.6645830968707
414.0;120785.9399804;1069.4428220471655
423.0;122766.4370504;1093.3878287821867
432.0;124748.97031640001;1114.6970396662955
441.0;126708.9024386;1142.9641917268611
450.0;128687.1499564;1157.2435235882876
459.0;130663.90444999999;1186.67013012866
468.0;132628.690549;1211.9474955199662
477.0;134589.77642439998;1237.6457939452027
486.0;136552.52468119998;1248.682306187822
495.0;138508.8161258;1273.2446107480664
504.0;140453.2570138;1301.0954233574669
513.0;142393.445691;1334.4763252295459
522.0;144336.62240659998;1373.7874100679428
